team,score,frequency
NO,15,0.005509641873278237
NO,37,0.008264462809917356
NO,12,0.011019283746556474
NO,45,0.013774104683195593
NO,19,0.01928374655647383
NO,30,0.03581267217630854
NO,16,0.01928374655647383
NO,3,0.008264462809917356
NO,6,0.008264462809917356
NO,18,0.005509641873278237
NO,42,0.008264462809917356
NO,14,0.01928374655647383
NO,41,0.011019283746556474
NO,51,0.005509641873278237
NO,48,0.011019283746556474
NO,46,0.005509641873278237
NO,38,0.027548209366391185
NO,33,0.011019283746556474
NO,25,0.011019283746556474
NO,40,0.005509641873278237
NO,62,0.0027548209366391185
NO,49,0.008264462809917356
NO,44,0.0027548209366391185
NO,52,0.008264462809917356
NO,11,0.0027548209366391185
NO,47,0.0027548209366391185
NO,36,0.005509641873278237
NO,39,0.0027548209366391185
NO,0,0.0027548209366391185
NYG,21,0.06611570247933884
NYG,33,0.008264462809917356
NYG,14,0.06336088154269973
NYG,6,0.02203856749311295
NYG,13,0.05234159779614325
NYG,19,0.01652892561983471
NYG,24,0.06611570247933884
NYG,31,0.03581267217630854
NYG,9,0.02203856749311295
NYG,30,0.024793388429752067
NYG,17,0.06887052341597796
NYG,20,0.05785123966942149
NYG,23,0.03856749311294766
NYG,27,0.07162534435261708
NYG,16,0.030303030303030304
NYG,10,0.06060606060606061
NYG,26,0.02203856749311295
NYG,7,0.030303030303030304
NYG,3,0.013774104683195593
NYG,29,0.02203856749311295
NYG,37,0.011019283746556474
NYG,44,0.011019283746556474
NYG,32,0.011019283746556474
NYG,34,0.013774104683195593
NYG,22,0.01652892561983471
NYG,42,0.0027548209366391185
NYG,36,0.01652892561983471
NYG,35,0.013774104683195593
NYG,38,0.013774104683195593
NYG,41,0.01652892561983471
NYG,8,0.0027548209366391185
NYG,45,0.005509641873278237
NYG,28,0.011019283746556474
NYG,25,0.011019283746556474
NYG,52,0.0027548209366391185
NYG,0,0.01928374655647383
NYG,15,0.005509641873278237
NYG,49,0.0027548209366391185
NYG,12,0.005509641873278237
NYG,18,0.008264462809917356
NYG,40,0.0027548209366391185
NYG,11,0.0027548209366391185
ARI,16,0.0440771349862259
ARI,32,0.005509641873278237
ARI,3,0.024793388429752067
ARI,20,0.05509641873278237
ARI,29,0.013774104683195593
ARI,14,0.046831955922865015
ARI,7,0.030303030303030304
ARI,10,0.06336088154269973
ARI,9,0.02203856749311295
ARI,13,0.03305785123966942
ARI,17,0.06611570247933884
ARI,21,0.05509641873278237
ARI,24,0.046831955922865015
ARI,45,0.0027548209366391185
ARI,34,0.03305785123966942
ARI,30,0.024793388429752067
ARI,23,0.046831955922865015
ARI,15,0.011019283746556474
ARI,28,0.03305785123966942
ARI,6,0.02203856749311295
ARI,0,0.01652892561983471
ARI,18,0.01928374655647383
ARI,27,0.05234159779614325
ARI,12,0.027548209366391185
ARI,25,0.01652892561983471
ARI,31,0.0440771349862259
ARI,19,0.027548209366391185
ARI,38,0.01928374655647383
ARI,26,0.024793388429752067
ARI,35,0.011019283746556474
ARI,41,0.008264462809917356
ARI,43,0.0027548209366391185
ARI,22,0.008264462809917356
ARI,40,0.008264462809917356
ARI,37,0.011019283746556474
ARI,48,0.0027548209366391185
ARI,47,0.0027548209366391185
ARI,42,0.005509641873278237
ARI,39,0.0027548209366391185
ARI,33,0.008264462809917356
PHI,41,0.0027548209366391185
PHI,18,0.005509641873278237
PHI,3,0.01928374655647383
PHI,21,0.0440771349862259
PHI,38,0.030303030303030304
PHI,14,0.024793388429752067
PHI,33,0.030303030303030304
PHI,13,0.030303030303030304
PHI,7,0.01652892561983471
PHI,16,0.02203856749311295
PHI,26,0.024793388429752067
PHI,34,0.05785123966942149
PHI,23,0.06336088154269973
PHI,35,0.01652892561983471
PHI,17,0.06611570247933884
PHI,27,0.05509641873278237
PHI,40,0.013774104683195593
PHI,20,0.06611570247933884
PHI,10,0.03581267217630854
PHI,48,0.008264462809917356
PHI,36,0.011019283746556474
PHI,24,0.07162534435261708
PHI,37,0.01928374655647383
PHI,44,0.005509641873278237
PHI,25,0.01928374655647383
