,season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
5403,2019,REG,12,D.K. Metcalf,WR,SEA,5.276666666666666,3.0181602086960955,17.975000000000005,32.32816762087469,3,6,50.0,35.0,0,7.406666666666664,4.449751645297208,2.956915021369456,00-0035640,DeKaylin,Metcalf,14,DK.Metcalf
5404,2019,REG,12,Tyler Higbee,TE,LAR,5.1875,3.594879977001092,5.4316666666666675,10.485842985842988,5,6,83.33333333333334,20.0,0,1.8439999999999999,3.09170489476669,-1.2477048947666902,00-0033110,Tyler,Higbee,89,T.Higbee
5405,2019,REG,12,Zach Ertz,TE,PHI,4.816666666666666,3.560967409385889,5.776428571428572,30.458363150163837,12,14,85.71428571428571,91.0,1,2.2308333333333334,2.3559772955605003,-0.12514396222716684,00-0030061,Zachary,Ertz,86,Z.Ertz
5406,2019,REG,12,Jarvis Landry,WR,CLE,4.812307692307692,1.9162559784214843,12.533846153846152,52.56807329978061,10,13,76.92307692307693,148.0,2,3.2939999999999996,3.0797000367588443,0.2142999632411553,00-0031382,Jarvis,Landry,80,J.Landry
5407,2019,REG,12,Dallas Goedert,TE,PHI,4.7875,4.727331415643054,1.9825000000000004,5.97340966441942,7,8,87.5,32.0,0,4.035714285714285,4.967201242183104,-0.9314869564688193,00-0034351,Dallas,Goedert,88,D.Goedert
5408,2019,REG,12,DeVante Parker,WR,MIA,4.764545454545455,3.020194412630939,10.160909090909094,31.67186171720035,6,11,54.54545454545454,91.0,0,6.091666666666666,4.3467428278064135,1.7449238388602524,00-0031547,DeVante,Parker,11,D.Parker
5409,2019,REG,12,Jordan Matthews,WR,PHI,4.723999999999999,1.8695297109837004,15.539999999999997,35.11732138149222,3,6,50.0,27.0,0,0.7600000000000003,0.9009976748484027,-0.1409976748484023,00-0031299,Jordan,Matthews,80,J.Matthews
5410,2019,REG,12,Allen Hurns,WR,MIA,4.695714285714287,3.7062273538459687,7.018571428571428,13.921790875602152,4,7,57.14285714285714,42.0,1,4.322499999999998,7.432869771186915,-3.1103697711869174,00-0030821,Allen,Hurns,17,A.Hurns
5411,2019,REG,12,Kaden Smith,TE,NYG,4.693333333333333,2.7773068336675792,2.0750000000000006,5.681040383299112,5,6,83.33333333333334,17.0,1,2.449999999999999,4.412410088867114,-1.9624100888671152,00-0034988,Kaden,Smith,82,K.Smith
5412,2019,REG,12,A.J. Brown,WR,TEN,4.6899999999999995,3.803996467027731,9.42,40.90672225117248,4,5,80.0,135.0,1,23.549999999999997,6.250360967164852,17.299639032835145,00-0035676,Arthur,Brown,11,A.Brown
5413,2019,REG,12,Jared Cook,TE,NO,4.575,1.7732743060262095,14.0425,29.797618100315642,6,8,75.0,99.0,1,4.633333333333333,2.904314741084704,1.7290185922486287,00-0027061,Jared,Cook,87,J.Cook
5414,2019,REG,12,Greg Olsen,TE,CAR,4.569999999999999,2.4555582776370573,9.738571428571428,29.769858945805495,5,7,71.42857142857143,44.0,0,3.558000000000001,3.1368996926459203,0.4211003073540809,00-0025418,Gregory,Olsen,88,G.Olsen
5415,2019,REG,12,Mike Evans,WR,TB,4.4825,4.218277973054836,10.876250000000002,32.909716706380735,4,8,50.0,50.0,0,3.294999999999998,2.5280750577581443,0.7669249422418538,00-0031408,Mike,Evans,13,M.Evans
5416,2019,REG,12,Russell Gage,WR,ATL,4.408888888888889,2.6695605957111868,6.676000000000002,14.022264230203744,8,10,80.0,76.0,0,3.206249999999998,3.589956335378858,-0.3837063353788599,00-0034411,Russell,Gage,83,R.Gage
5417,2019,REG,12,Michael Gallup,WR,DAL,4.3950000000000005,2.1803761152309202,11.313333333333333,34.70347648261759,4,6,66.66666666666666,55.0,0,0.5825000000000031,0.7437274519648156,-0.16122745196481247,00-0034764,Michael,Gallup,13,M.Gallup
5418,2019,REG,12,Julio Jones,WR,ATL,4.2780000000000005,1.9149720931565448,10.861,22.812434362528883,5,10,50.0,68.0,0,1.9600000000000022,2.941589861529599,-0.9815898615295966,00-0027944,Quintorris,Jones,11,J.Jones
5419,2019,REG,12,DeAndre Hopkins,WR,HOU,4.255,3.492507143872508,14.37125,29.927634319033736,6,8,75.0,94.0,2,2.448333333333334,3.0430866184261514,-0.5947532850928172,00-0030564,DeAndre,Hopkins,10,D.Hopkins
5420,2019,REG,12,Courtland Sutton,WR,DEN,4.192500000000001,2.1035390446223934,12.662500000000001,66.5353037766831,1,8,12.5,27.0,0,6.259999999999998,4.846889040167298,1.4131109598327,00-0034348,Courtland,Sutton,14,C.Sutton
5421,2019,REG,12,Tyrell Williams,WR,LV,4.15,2.2121190024029542,15.13166666666667,44.45913520395672,2,6,33.33333333333333,18.0,0,-0.4600000000000044,0.29465487024327786,-0.7546548702432823,00-0032160,Tyrell,Williams,16,T.Williams
5422,2019,REG,12,Will Fuller,WR,HOU,3.98,2.218935338239932,15.817272727272728,45.29102457309455,7,11,63.63636363636363,140.0,0,3.5942857142857134,4.5406695975091065,-0.9463838832233931,00-0033127,William,Fuller,15,W.Fuller
5423,2019,REG,12,Eric Ebron,TE,IND,3.9619999999999997,7.076982700759973,7.449999999999998,23.77002105800523,4,5,80.0,44.0,0,6.332500000000001,5.821037859648641,0.5114621403513606,00-0031387,Eric,Ebron,85,E.Ebron
5424,2019,REG,12,Mike Gesicki,TE,MIA,3.83,1.7386631456903163,12.947142857142856,25.681496174553697,3,7,42.857142857142854,28.0,1,3.3266666666666658,4.2804005768484785,-0.9537339101818127,00-0034829,Michael,Gesicki,88,M.Gesicki
5425,2019,REG,12,Darius Slayton,WR,NYG,3.7714285714285714,1.9938066124642815,9.700000000000001,30.98334474104495,4,7,57.14285714285714,67.0,0,7.675,3.680521402779675,3.9944785972203247,00-0035535,Darius,Slayton,86,D.Slayton
5426,2019,REG,12,Odell Beckham,WR,CLE,3.371428571428571,1.953557433398899,11.42875,29.497354497354493,6,8,75.0,84.0,1,3.5716666666666668,4.2672908524400555,-0.6956241857733887,00-0031235,Odell,Beckham,13,O.Beckham
5427,2019,REG,12,Terry McLaurin,WR,WAS,3.292499999999999,1.7913514603148695,16.7075,54.62793929320726,5,12,41.66666666666667,72.0,0,1.7819999999999994,1.7593605027019066,0.02263949729809278,00-0035659,Terry,McLaurin,17,T.McLaurin
5428,2019,REG,12,J.J. Arcega-Whiteside,WR,PHI,3.2540000000000004,2.445612980475013,11.49,21.637603103461263,2,5,40.0,43.0,0,3.75,2.257944429444292,1.4920555705557081,00-0035246,Jose Joaquin,Arcega-Whiteside,19,J.Arcega-Whiteside
5429,2019,REG,12,Robby Anderson,WR,NYJ,2.198,1.703616063277402,18.894,46.06719656702589,4,5,80.0,86.0,1,7.545000000000002,3.7738904698032343,3.7711095301967674,00-0032688,Robby,Anderson,11,Ro.Anderson
5430,2019,REG,13,D.J. Chark,WR,JAX,8.501999999999999,1.4319243400872375,15.508,37.92614331132305,2,5,40.0,47.0,0,7.585000000000001,3.437328912879373,4.147671087120628,00-0034777,Darrell,Chark,17,D.Chark Jr.
5431,2019,REG,13,D.J. Moore,WR,CAR,8.311666666666666,3.9307710702535767,12.384166666666667,34.98516879325769,6,12,50.0,75.0,1,2.1249999999999987,2.1327172931274845,-0.007717293127485814,00-0034827,Denniston,Moore,12,D.Moore
5432,2019,REG,13,Mike Williams,WR,LAC,8.292857142857143,3.0805927403621105,19.33857142857143,66.99826775550606,5,7,71.42857142857143,117.0,0,4.946,4.033087518482661,0.9129124815173384,00-0033536,Michael,Williams,81,M.Williams
5433,2019,REG,13,Calvin Ridley,WR,ATL,8.007000000000001,2.6170605094531423,11.35,34.02584165242679,8,10,80.0,91.0,0,0.6637500000000003,1.482163234824931,-0.8184132348249307,00-0034837,Calvin,Ridley,18,C.Ridley
5434,2019,REG,13,Jarvis Landry,WR,CLE,7.897272727272727,1.9482389638874487,12.185454545454542,36.38732795830279,6,11,54.54545454545454,76.0,0,3.8750000000000004,2.7900011717909856,1.0849988282090148,00-0031382,Jarvis,Landry,80,J.Landry
5435,2019,REG,13,Larry Fitzgerald,WR,ARI,7.850000000000001,3.8430235181684163,6.114285714285715,23.08771172726292,6,7,85.71428571428571,56.0,0,4.046666666666666,3.7027487956942573,0.34391787097240867,00-0022921,Larry,Fitzgerald,11,L.Fitzgerald
5436,2019,REG,13,Mike Gesicki,TE,MIA,7.79,2.7093810595682988,10.411428571428571,21.698225556746458,5,7,71.42857142857143,79.0,1,7.296000000000001,6.747246349333546,0.5487536506664554,00-0034829,Michael,Gesicki,88,M.Gesicki
5437,2019,REG,13,Breshad Perriman,WR,TB,7.754,3.213870107217497,13.163333333333334,23.027581783194357,5,6,83.33333333333334,87.0,0,4.109999999999999,5.698033071356525,-1.5880330713565254,00-0032054,Breshad,Perriman,19,B.Perriman
5438,2019,REG,13,Jack Doyle,TE,IND,7.728571428571429,3.5183951007980356,7.535454545454544,28.608407537792495,6,11,54.54545454545454,73.0,1,2.763333333333333,1.9842339341654405,0.7790993991678927,00-0030181,John,Doyle,84,J.Doyle
5439,2019,REG,13,Chris Godwin,WR,TB,7.728333333333334,2.450811741165333,3.8033333333333323,6.6534491807102425,4,6,66.66666666666666,50.0,0,12.195,6.464179535916969,5.730820464083031,00-0033921,Rod,Godwin,12,C.Godwin
5440,2019,REG,13,Tavon Austin,WR,DAL,7.660000000000001,2.4238578867235856,13.242,16.867930296545396,2,5,40.0,22.0,0,2.539999999999999,2.5018225421049465,0.03817745789505267,00-0030525,Tavon,Austin,10,T.Austin
5441,2019,REG,13,Pharoh Cooper,WR,ARI,7.595999999999999,2.719507699252556,5.580000000000001,18.06020066889632,4,6,66.66666666666666,26.0,0,3.2349999999999977,3.200926257827291,0.034073742172706645,00-0033111,Pharoh,Cooper,12,P.Cooper
5442,2019,REG,13,Christian Blake,WR,ATL,7.58125,2.982250612524197,7.260000000000001,19.588092454357415,6,9,66.66666666666666,57.0,0,2.2833333333333328,2.946610314101273,-0.6632769807679404,00-0034132,Christian,Blake,13,C.Blake
5443,2019,REG,13,Jarius Wright,WR,CAR,7.5325,1.7293681548557522,19.082,22.461038655303923,3,5,60.0,34.0,0,1.0433333333333341,1.592669371505064,-0.5493360381717298,00-0029572,Jarius,Wright,13,J.Wright
5444,2019,REG,13,Javon Wims,WR,CHI,7.510000000000001,3.3371572863473893,8.483333333333333,15.3897321158614,5,6,83.33333333333334,56.0,0,1.3840000000000017,1.608455329103388,-0.2244553291033864,00-0034426,Javon,Wims,83,J.Wims
5445,2019,REG,13,Jacob Hollister,TE,SEA,7.46875,2.4426328792465726,6.327499999999999,20.15127388535031,6,8,75.0,44.0,0,2.098333333333336,2.5632307857186256,-0.4648974523852898,00-0033387,Jacob,Hollister,48,J.Hollister
5446,2019,REG,13,Marcus Johnson,WR,IND,7.433333333333333,3.5020279267492587,10.723333333333334,22.206115827983712,4,6,66.66666666666666,55.0,0,4.65,4.420726446355616,0.22927355364438462,00-0032980,Marcus,Johnson,83,M.Johnson
5447,2019,REG,13,Christian Kirk,WR,ARI,7.4142857142857155,3.1121370736656506,12.032857142857143,45.43640090624663,3,7,42.857142857142854,23.0,0,3.8699999999999997,3.020501578628455,0.8494984213715449,00-0034775,Christian,Kirk,13,C.Kirk
