,season,week,team,players_out_total,players_questionable_total,players_doubtful_total,players_full_total,players_none_total,players_limit_total
2405,2022.0,8.0,MIA,1,6,0,11,2,7
2406,2022.0,8.0,MIN,0,1,0,1,1,0
2407,2022.0,8.0,NE,2,8,0,2,2,8
2408,2022.0,8.0,NO,3,5,0,5,4,4
2409,2022.0,8.0,NYG,6,3,0,0,7,3
2410,2022.0,8.0,NYJ,1,2,0,5,1,0
2411,2022.0,8.0,PHI,0,0,0,3,0,9
2412,2022.0,8.0,PIT,2,2,0,5,3,1
2413,2022.0,8.0,SEA,1,7,1,6,2,5
2414,2022.0,8.0,SF,4,2,0,3,4,2
2415,2022.0,8.0,TB,6,2,0,0,7,6
2416,2022.0,8.0,TEN,2,2,0,7,5,2
2417,2022.0,8.0,WAS,4,3,0,3,4,4
2418,2022.0,9.0,ARI,3,6,0,3,5,5
2419,2022.0,9.0,ATL,2,1,0,1,3,1
2420,2022.0,9.0,BAL,1,4,2,5,8,2
2421,2022.0,9.0,BUF,1,2,0,5,3,3
2422,2022.0,9.0,CAR,3,2,1,6,4,1
2423,2022.0,9.0,CHI,0,1,0,4,1,0
2424,2022.0,9.0,CIN,4,2,0,6,7,0
2425,2022.0,9.0,DET,4,4,1,7,5,2
2426,2022.0,9.0,GB,2,5,0,1,2,6
2427,2022.0,9.0,HOU,5,3,0,4,6,0
2428,2022.0,9.0,IND,4,2,0,6,6,1
2429,2022.0,9.0,JAX,0,1,0,0,0,1
2430,2022.0,9.0,KC,1,0,0,7,1,0
2431,2022.0,9.0,LAC,6,2,0,3,5,3
2432,2022.0,9.0,LAR,1,2,0,5,1,2
2433,2022.0,9.0,LV,0,3,0,5,0,4
2434,2022.0,9.0,MIA,1,4,1,10,4,9
2435,2022.0,9.0,MIN,1,2,0,4,2,0
2436,2022.0,9.0,NE,3,7,0,0,5,8
2437,2022.0,9.0,NO,3,1,0,4,4,1
2438,2022.0,9.0,NYJ,1,1,0,4,1,0
2439,2022.0,9.0,PHI,2,0,0,0,2,10
2440,2022.0,9.0,SEA,2,2,0,8,3,1
2441,2022.0,9.0,TB,4,3,0,5,5,3
2442,2022.0,9.0,TEN,2,4,0,7,5,2
2443,2022.0,9.0,WAS,4,2,0,4,4,1
2444,2022.0,10.0,ARI,2,9,0,4,5,7
2445,2022.0,10.0,ATL,3,0,0,0,4,0
2446,2022.0,10.0,BUF,2,2,1,6,7,2
2447,2022.0,10.0,CAR,2,4,0,11,2,0
2448,2022.0,10.0,CHI,1,2,1,2,2,2
2449,2022.0,10.0,CLE,2,1,0,9,1,3
2450,2022.0,10.0,DAL,1,1,0,10,1,1
2451,2022.0,10.0,DEN,3,5,0,4,6,2
2452,2022.0,10.0,DET,1,4,1,4,1,5
2453,2022.0,10.0,GB,4,2,1,3,6,11
2454,2022.0,10.0,HOU,1,4,0,5,2,3
2455,2022.0,10.0,IND,3,2,0,9,5,1
2456,2022.0,10.0,JAX,0,1,0,1,0,1
2457,2022.0,10.0,KC,1,1,0,5,2,1
2458,2022.0,10.0,LAC,3,2,1,6,5,2
