season,week,home_team,away_team,total,spread,ml,home_implied_score,away_implied_score,home_score,away_score,home_predicted_score,away_predicted_score,predicted_spread,actual_spread,predicted_total,actual_total,predicted_winner,actual_winner,spread_won,total_won,ml_won
2023,12,DET,GB,47.0,-8.5,DET,28.0,19.0,22,29,28.656037131025847,19.28607546933845,-9.369961661687398,7,47.9421126003643,51,DET,GB,False,False,False
2023,12,HOU,JAX,47.5,1.5,JAX,23.0,24.0,21,24,22.49661570743188,23.96817747354269,1.4715617661108098,3,46.46479318097457,45,JAX,JAX,False,True,True
2023,12,IND,TB,45.0,-2.5,IND,24.0,21.0,27,20,24.55731855420792,22.479030344084315,-2.078288210123606,-7,47.03634889829223,47,IND,IND,False,False,True
2023,12,KC,LV,42.5,-9.0,KC,26.0,17.0,31,17,26.67086332628802,18.378997695623273,-8.291865630664748,-14,45.0498610219113,48,KC,KC,False,False,True
2023,12,MIA,NYJ,40.0,-9.5,MIA,25.0,15.0,34,13,25.24463400346997,18.43736954427431,-6.8072644591956575,-21,43.68200354774428,47,MIA,MIA,False,False,True
2023,12,NE,NYG,36.0,-4.5,NE,20.0,16.0,7,10,19.523629548969105,18.645177658178966,-0.8784518907901386,3,38.16880720714807,17,NE,NYG,True,False,False
2023,12,SEA,SF,43.0,7.0,SF,18.0,25.0,13,31,19.184301223373183,27.14126713206197,7.956965908688787,18,46.32556835543515,44,SF,SF,True,False,True
2023,13,ARI,PIT,41.0,6.0,PIT,18.0,24.0,24,10,18.863550581547678,22.968978510191473,4.105427928643795,-14,41.83252909173915,34,PIT,ARI,True,False,False
2023,13,ATL,NYJ,33.0,-2.0,ATL,18.0,16.0,13,8,19.576639753675593,19.92552485953445,0.3488851058588551,-5,39.50216461321004,21,NYJ,ATL,False,False,False
2023,13,CAR,TB,36.5,3.5,TB,16.0,20.0,18,21,20.648350161353083,20.481987596420574,-0.16636256493250912,3,41.13033775777366,39,CAR,TB,True,False,False
